tool,run,parameter,moment,value
nm7,16,P5,estimate,91.9916
nm7,16,P6,estimate,0.956247
nm7,16,P7,estimate,2.23841
nm7,16,P8,estimate,0.0562731
nm7,16,P9,estimate,0.153825
nm7,16,P10,estimate,0
nm7,16,P11,estimate,0.184547
nm7,16,P12,estimate,0
nm7,16,P13,estimate,0
nm7,16,P14,estimate,0.0481827
nm7,16,P1,prse,Inf
nm7,16,P2,prse,Inf
nm7,16,P3,prse,Inf
nm7,16,P4,prse,Inf
nm7,16,P5,prse,Inf
nm7,16,P6,prse,Inf
nm7,16,P7,prse,Inf
nm7,16,P8,prse,Inf
nm7,16,P9,prse,Inf
nm7,16,P10,prse,Inf
nm7,16,P11,prse,Inf
nm7,16,P12,prse,Inf
nm7,16,P13,prse,Inf
nm7,16,P14,prse,Inf
nm7,16,ofv,minimum,2571.49615073317
nm7,17,prob,text,17 phase1 2 CMT like 1004 but diff. initial on V3
nm7,17,min,status,0
nm7,17,P1,estimate,8.7497
nm7,17,P2,estimate,21.2961
nm7,17,P3,estimate,0.0731562
nm7,17,P4,estimate,3.87017
nm7,17,P5,estimate,136.591
nm7,17,P6,estimate,1.1614
nm7,17,P7,estimate,0.583506
nm7,17,P8,estimate,0.0639251
nm7,17,P9,estimate,0.22486
nm7,17,P10,estimate,0
nm7,17,P11,estimate,0.106356
nm7,17,P12,estimate,0
nm7,17,P13,estimate,0
nm7,17,P14,estimate,0.123263
nm7,17,P1,prse,Inf
nm7,17,P2,prse,Inf
nm7,17,P3,prse,Inf
nm7,17,P4,prse,Inf
nm7,17,P5,prse,Inf
nm7,17,P6,prse,Inf
nm7,17,P7,prse,Inf
nm7,17,P8,prse,Inf
nm7,17,P9,prse,Inf
nm7,17,P10,prse,Inf
nm7,17,P11,prse,Inf
nm7,17,P12,prse,Inf
nm7,17,P13,prse,Inf
nm7,17,P14,prse,Inf
nm7,17,ofv,minimum,2259.20953314819
nm7,18,prob,text,18 phase1 2 CMT like 1004 but diff. initial on V3
nm7,18,min,status,0
nm7,18,P1,estimate,8.33559
nm7,18,P2,estimate,20.2834
nm7,18,P3,estimate,0.0679584
nm7,18,P4,estimate,3.55154
nm7,18,P5,estimate,88.5747
nm7,18,P6,estimate,1.01088
nm7,18,P7,estimate,1.78415
nm7,18,P8,estimate,0.0681538
nm7,18,P9,estimate,0.195018
nm7,18,P10,estimate,0
nm7,18,P11,estimate,0.147182
nm7,18,P12,estimate,0
nm7,18,P13,estimate,0
nm7,18,P14,estimate,0.0936414
nm7,18,P1,prse,Inf
nm7,18,P2,prse,Inf
nm7,18,P3,prse,Inf
nm7,18,P4,prse,Inf
nm7,18,P5,prse,Inf
nm7,18,P6,prse,Inf
nm7,18,P7,prse,Inf
nm7,18,P8,prse,Inf
nm7,18,P9,prse,Inf
nm7,18,P10,prse,Inf
nm7,18,P11,prse,Inf
nm7,18,P12,prse,Inf
nm7,18,P13,prse,Inf
nm7,18,P14,prse,Inf
nm7,18,ofv,minimum,2328.74891948222
nm7,19,prob,text,19 phase1 2 CMT like 1004 but diff. initial on V3
nm7,19,min,status,0
nm7,19,P1,estimate,7.99041
nm7,19,P2,estimate,21.6616
nm7,19,P3,estimate,0.065731
nm7,19,P4,estimate,3.88615
nm7,19,P5,estimate,107.856
nm7,19,P6,estimate,1.17954
nm7,19,P7,estimate,1.66335
nm7,19,P8,estimate,0.0777063
nm7,19,P9,estimate,0.196977
nm7,19,P10,estimate,0
nm7,19,P11,estimate,0.131618
nm7,19,P12,estimate,0
nm7,19,P13,estimate,0
nm7,19,P14,estimate,0.0997632
nm7,19,P1,prse,Inf
nm7,19,P2,prse,Inf
nm7,19,P3,prse,Inf
nm7,19,P4,prse,Inf
nm7,19,P5,prse,Inf
nm7,19,P6,prse,Inf
nm7,19,P7,prse,Inf
nm7,19,P8,prse,Inf
nm7,19,P9,prse,Inf
nm7,19,P10,prse,Inf
nm7,19,P11,prse,Inf
nm7,19,P12,prse,Inf
nm7,19,P13,prse,Inf
nm7,19,P14,prse,Inf
nm7,19,ofv,minimum,2362.81211874459
nm7,20,prob,text,20 phase1 2 CMT like 1004 but diff. initial on V3
nm7,20,min,status,0
nm7,20,P1,estimate,8.24881
nm7,20,P2,estimate,23.3316
nm7,20,P3,estimate,0.0727681
nm7,20,P4,estimate,4.29262
nm7,20,P5,estimate,108.55
nm7,20,P6,estimate,0.991989
nm7,20,P7,estimate,1.87384
nm7,20,P8,estimate,0.0619264
nm7,20,P9,estimate,0.217041
nm7,20,P10,estimate,0
nm7,20,P11,estimate,0.0847562
nm7,20,P12,estimate,0
nm7,20,P13,estimate,0
nm7,20,P14,estimate,0.133431
nm7,20,P1,prse,Inf
nm7,20,P2,prse,Inf
nm7,20,P3,prse,Inf
nm7,20,P4,prse,Inf
nm7,20,P5,prse,Inf
nm7,20,P6,prse,Inf
nm7,20,P7,prse,Inf
nm7,20,P8,prse,Inf
nm7,20,P9,prse,Inf
nm7,20,P10,prse,Inf
nm7,20,P11,prse,Inf
nm7,20,P12,prse,Inf
nm7,20,P13,prse,Inf
nm7,20,P14,prse,Inf
nm7,20,ofv,minimum,2802.19504805009
nm7,21,prob,text,21 phase1 2 CMT like 1004 but diff. initial on V3
nm7,21,min,status,0
nm7,21,P1,estimate,8.0235
nm7,21,P2,estimate,20.7425
nm7,21,P3,estimate,0.0653764
nm7,21,P4,estimate,3.4939
nm7,21,P5,estimate,87.5294
nm7,21,P6,estimate,1.05194
nm7,21,P7,estimate,1.15832
nm7,21,P8,estimate,0.0579519
nm7,21,P9,estimate,0.14162
nm7,21,P10,estimate,0
nm7,21,P11,estimate,0.127757
nm7,21,P12,estimate,0
nm7,21,P13,estimate,0
nm7,21,P14,estimate,0.0915647
nm7,21,P1,prse,Inf
nm7,21,P2,prse,Inf
nm7,21,P3,prse,Inf
nm7,21,P4,prse,Inf
nm7,21,P5,prse,Inf
nm7,21,P6,prse,Inf
nm7,21,P7,prse,Inf
nm7,21,P8,prse,Inf
nm7,21,P9,prse,Inf
nm7,21,P10,prse,Inf
nm7,21,P11,prse,Inf
nm7,21,P12,prse,Inf
nm7,21,P13,prse,Inf
nm7,21,P14,prse,Inf
nm7,21,ofv,minimum,2627.10954696465
