$PROB 27 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 28 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679697631,12.7939,17.9719,0.0911577,3.84533,63.1679,0.0384819,0.050856,0,0.0412297,0,0,0.0340147
$PROB 28 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 29 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.2567958725,12.7938,17.9734,0.0911638,3.84586,63.172,0.0384853,0.0508344,0,0.0412165,0,0,0.0340147
$PROB 29 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 30 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679910194,12.7939,17.972,0.0911568,3.84543,63.1676,0.0384839,0.0508464,0,0.0412249,0,0,0.0340102
$PROB 30 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 31 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25680036785,12.7938,17.9707,0.091151,3.84498,63.1643,0.038485,0.0508415,0,0.0412161,0,0,0.0340037
$PROB 31 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 32 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.2568003078,12.7938,17.9707,0.0911507,3.8449,63.1638,0.0384852,0.0508421,0,0.0412188,0,0,0.0340031
$PROB 32 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 33 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679596511,12.7939,17.9716,0.0911557,3.84501,63.1655,0.0384815,0.0508594,0,0.0412319,0,0,0.0340164
$PROB 33 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 34 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25680037732,12.7938,17.9707,0.091151,3.84498,63.1643,0.0384849,0.0508415,0,0.0412161,0,0,0.0340037
$PROB 34 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 35 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679987255,12.7938,17.9709,0.091151,3.84474,63.1634,0.0384843,0.050843,0,0.0412211,0,0,0.0340076
$PROB 35 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 36 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679925824,12.7938,17.9718,0.0911562,3.84536,63.1671,0.0384839,0.0508463,0,0.0412236,0,0,0.0340099
$PROB 36 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 37 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679889814,12.7936,17.9713,0.0911566,3.84552,63.1686,0.0384833,0.0508468,0,0.0412328,0,0,0.0340089
$PROB 37 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 38 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679682794,12.7939,17.9719,0.0911575,3.8453,63.1677,0.0384818,0.0508565,0,0.04123,0,0,0.0340149
$PROB 38 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 39 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25680019379,12.7939,17.9701,0.0911486,3.84474,63.1625,0.038485,0.0508405,0,0.0412051,0,0,0.0340019
$PROB 39 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 40 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679590289,12.7939,17.9716,0.0911556,3.84498,63.1654,0.0384815,0.0508596,0,0.041232,0,0,0.0340164
$PROB 40 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 41 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679298113,12.7934,17.9698,0.0911424,3.84294,63.1465,0.0384872,0.0508473,0,0.041206,0,0,0.0340057
$PROB 41 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 42 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25680016507,12.7939,17.971,0.0911519,3.84499,63.1648,0.0384858,0.0508415,0,0.0412205,0,0,0.0340037
$PROB 42 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 43 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679653149,12.7939,17.9719,0.0911571,3.84522,63.1671,0.0384817,0.0508574,0,0.0412307,0,0,0.0340154
$PROB 43 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 44 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.2567963965,12.7939,17.9718,0.0911568,3.84518,63.1668,0.0384817,0.0508579,0,0.041231,0,0,0.0340157
$PROB 44 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 45 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679683943,12.7939,17.9719,0.0911575,3.8453,63.1677,0.0384818,0.0508564,0,0.04123,0,0,0.0340149
$PROB 45 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 46 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.2568003346,12.7938,17.9709,0.0911516,3.84507,63.165,0.0384848,0.0508434,0,0.0412162,0,0,0.0340042
$PROB 46 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 47 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679632084,12.7939,17.9718,0.0911567,3.84516,63.1667,0.0384816,0.0508581,0,0.0412312,0,0,0.0340158
$PROB 47 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 48 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.2568003827,12.7939,17.9707,0.0911508,3.84496,63.1641,0.0384848,0.0508422,0,0.0412155,0,0,0.0340036
$PROB 48 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 49 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.2568000917,12.7938,17.9708,0.0911504,3.84474,63.1631,0.0384844,0.0508428,0,0.0412194,0,0,0.0340065
