"tool","run","parameter","moment","value"
"nm7","7","OMEGA3.1","prse",NA
"nm7","7","OMEGA3.2","estimate","0"
"nm7","7","OMEGA3.2","prse",NA
"nm7","7","OMEGA3.3","estimate","0.0767474"
"nm7","7","OMEGA3.3","prse",NA
"nm7","7","SIGMA1.1","estimate","0.0703442"
"nm7","7","SIGMA1.1","prse",NA
"nm7","7","THETA1","estimate","10.0529"
"nm7","7","THETA1","prse",NA
"nm7","7","THETA2","estimate","23.6788"
"nm7","7","THETA2","prse",NA
"nm7","7","THETA3","estimate","0.0687462"
"nm7","7","THETA3","prse",NA
"nm7","7","THETA4","estimate","4.43348"
"nm7","7","THETA4","prse",NA
"nm7","7","THETA5","estimate","139.819"
"nm7","7","THETA5","prse",NA
"nm7","7","THETA6","estimate","1.05855"
"nm7","7","THETA6","prse",NA
"nm7","7","THETA7","estimate","1.78881"
"nm7","7","THETA7","prse",NA
"nm7","8","prob","text","8 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","8","min","status","0"
"nm7","8","ofv","estimate","2388.93125222799"
"nm7","8","OMEGA1.1","estimate","0.243006"
"nm7","8","OMEGA1.1","prse",NA
"nm7","8","OMEGA2.1","estimate","0"
"nm7","8","OMEGA2.1","prse",NA
"nm7","8","OMEGA2.2","estimate","0.11929"
"nm7","8","OMEGA2.2","prse",NA
"nm7","8","OMEGA3.1","estimate","0"
"nm7","8","OMEGA3.1","prse",NA
"nm7","8","OMEGA3.2","estimate","0"
"nm7","8","OMEGA3.2","prse",NA
"nm7","8","OMEGA3.3","estimate","0.0763929"
"nm7","8","OMEGA3.3","prse",NA
"nm7","8","SIGMA1.1","estimate","0.061677"
"nm7","8","SIGMA1.1","prse",NA
"nm7","8","THETA1","estimate","8.21021"
"nm7","8","THETA1","prse",NA
"nm7","8","THETA2","estimate","25.6328"
"nm7","8","THETA2","prse",NA
"nm7","8","THETA3","estimate","0.0657621"
"nm7","8","THETA3","prse",NA
"nm7","8","THETA4","estimate","4.08697"
"nm7","8","THETA4","prse",NA
"nm7","8","THETA5","estimate","121.756"
"nm7","8","THETA5","prse",NA
"nm7","8","THETA6","estimate","1.1265"
"nm7","8","THETA6","prse",NA
